idx,pair,side,entry_time,exit_time,entry,exit_price,initial_sl,initial_tp,lot,pnl,pnl_pct,confidence,signal_reason,regime,session,exit_reason,duration_bars,mfe,mae,balance_after
1,XAUUSD,buy,2025-03-03T19:00:00+00:00,2025-03-03T19:45:00+00:00,2888.445,2882.31288,2882.31288,2898.66519,0.16,-98.11,-0.981,0.61,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 57.8",trending_up,london,sl_hit,3,24.05,-145.44,9901.89
2,XAUUSD,buy,2025-03-03T20:30:00+00:00,2025-03-04T07:15:00+00:00,2884.848,2895.58386,2878.40649,2895.58386,0.15,161.04,1.626,0.62,Pullback to EMA21 in uptrend · RSI 50.7,trending_up,london,tp_hit,39,243.86,-48.0,10062.92
3,XAUUSD,buy,2025-03-04T07:30:00+00:00,2025-03-04T08:15:00+00:00,2898.295,2907.62266,2892.6984,2907.62266,0.17,158.57,1.576,0.64,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 64.4",trending_up,london,tp_hit,3,262.99,-32.25,10221.49
4,XAUUSD,buy,2025-03-04T08:30:00+00:00,2025-03-04T12:45:00+00:00,2913.535,2925.01208,2906.64875,2925.01208,0.14,160.68,1.572,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 77.6",trending_up,london,tp_hit,17,165.06,-46.2,10382.17
5,XAUUSD,buy,2025-03-04T13:00:00+00:00,2025-03-04T13:30:00+00:00,2926.385,2920.35857,2920.35857,2936.42906,0.17,-102.45,-0.987,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 80.9",trending_up,london,sl_hit,2,8.21,-110.5,10279.72
6,XAUUSD,buy,2025-03-04T13:45:00+00:00,2025-03-04T14:15:00+00:00,2922.398,2916.01906,2916.01906,2933.02957,0.16,-102.06,-0.993,0.65,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 66.9",trending_up,london,sl_hit,2,7.47,-131.68,10177.66
7,XAUUSD,buy,2025-03-04T16:30:00+00:00,2025-03-05T02:30:00+00:00,2910.605,2902.35035,2902.35035,2924.36276,0.12,-99.06,-0.973,0.62,Pullback to EMA21 in uptrend · RSI 48.3,trending_up,london,sl_hit,36,116.16,-106.16,10078.61
8,XAUUSD,sell,2025-03-05T02:45:00+00:00,2025-03-05T03:30:00+00:00,2904.075,2910.79646,2910.79646,2892.87257,0.14,-94.1,-0.934,0.76,EMA(21)↓55 cross · RSI 36.0 · regime ranging,ranging,london,sl_hit,3,13.86,-99.02,9984.5
9,XAUUSD,sell,2025-03-05T03:45:00+00:00,2025-03-05T05:45:00+00:00,2908.415,2915.02635,2915.02635,2897.39608,0.15,-99.17,-0.993,0.54,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 45.1",ranging,london,sl_hit,8,2.55,-153.6,9885.33
10,XAUUSD,buy,2025-03-05T06:00:00+00:00,2025-03-05T06:30:00+00:00,2919.325,2913.8195,2913.8195,2928.50083,0.17,-93.59,-0.947,0.59,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 64.4",ranging,london,sl_hit,2,37.06,-101.61,9791.74
11,XAUUSD,buy,2025-03-05T06:45:00+00:00,2025-03-05T10:45:00+00:00,2916.865,2911.12917,2911.12917,2926.42471,0.17,-97.51,-0.996,0.56,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 58.1",ranging,london,sl_hit,16,93.33,-139.23,9694.23
12,XAUUSD,buy,2025-03-05T12:15:00+00:00,2025-03-05T13:00:00+00:00,2918.299,2912.49726,2912.49726,2927.96857,0.16,-92.83,-0.958,0.55,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 55.8",ranging,london,sl_hit,3,4.8,-103.42,9601.4
13,XAUUSD,sell,2025-03-05T13:30:00+00:00,2025-03-05T14:30:00+00:00,2899.725,2906.92536,2906.92536,2887.7244,0.13,-93.6,-0.975,0.82,EMA(21)↓55 cross · RSI 27.2 · regime ranging,ranging,london,sl_hit,4,72.54,-223.6,9507.8
14,XAUUSD,sell,2025-03-05T14:45:00+00:00,2025-03-05T15:00:00+00:00,2910.117,2919.16414,2919.16414,2895.03844,0.1,-90.47,-0.952,0.53,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 47.6",ranging,london,sl_hit,1,47.19,-114.08,9417.33
15,XAUUSD,buy,2025-03-05T16:00:00+00:00,2025-03-05T18:00:00+00:00,2922.988,2912.96938,2912.96938,2939.68571,0.09,-90.17,-0.957,0.73,EMA(21)↑55 cross · RSI 60.8 · regime ranging,ranging,london,sl_hit,8,60.84,-106.77,9327.16
16,XAUUSD,buy,2025-03-05T19:45:00+00:00,2025-03-06T07:30:00+00:00,2920.355,2913.1816,2913.1816,2932.31067,0.13,-93.25,-1.0,0.55,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 55.8",ranging,london,sl_hit,43,78.91,-118.56,9233.91
17,XAUUSD,sell,2025-03-06T07:45:00+00:00,2025-03-06T08:45:00+00:00,2909.995,2901.49343,2915.09594,2901.49343,0.18,153.03,1.657,0.81,EMA(21)↓55 cross · RSI 31.0 · regime ranging,ranging,london,tp_hit,4,163.62,-24.48,9386.93
18,XAUUSD,sell,2025-03-06T09:00:00+00:00,2025-03-06T09:45:00+00:00,2904.305,2894.46784,2910.20729,2894.46784,0.15,147.56,1.572,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 26.3",trending_down,london,tp_hit,3,202.35,-5.1,9534.49
19,XAUUSD,sell,2025-03-06T10:00:00+00:00,2025-03-06T10:30:00+00:00,2894.405,2901.08139,2901.08139,2883.27768,0.14,-93.47,-0.98,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 18.4",trending_down,london,sl_hit,2,1.96,-149.0,9441.02
20,XAUUSD,sell,2025-03-06T10:45:00+00:00,2025-03-06T11:30:00+00:00,2898.975,2906.06362,2906.06362,2887.16064,0.13,-92.15,-0.976,0.65,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 34.3",trending_down,london,sl_hit,3,7.54,-110.89,9348.87
21,XAUUSD,sell,2025-03-06T11:45:00+00:00,2025-03-06T14:30:00+00:00,2905.685,2912.8003,2912.8003,2893.82616,0.13,-92.5,-0.989,0.62,Pullback to EMA21 in downtrend · RSI 47.8,trending_down,london,sl_hit,11,85.8,-108.03,9256.37
22,XAUUSD,buy,2025-03-06T16:30:00+00:00,2025-03-06T20:45:00+00:00,2917.585,2909.79545,2909.79545,2930.56758,0.11,-85.68,-0.926,0.77,EMA(21)↑55 cross · RSI 65.1 · regime ranging,ranging,london,sl_hit,17,40.4,-102.05,9170.69
